Date,N1,N2,N3,N4,N5,PB
07/28/10,1,11,20,25,27,2
07/31/10,1,16,17,41,57,15
08/25/10,16,17,29,31,36,23
08/28/10,4,22,27,32,56,13
09/01/10,17,20,21,40,51,19
10/02/10,12,20,30,36,47,25
10/06/10,14,26,37,41,46,24
10/13/10,12,22,32,34,46,2
10/27/10,20,24,25,53,59,15
11/17/10,14,16,53,54,59,5
11/24/10,8,20,21,32,37,4
12/04/10,13,24,27,31,42,22
12/18/10,4,11,19,33,43,14
12/25/10,1,17,38,50,52,24
01/05/11,22,26,32,38,40,7
01/08/11,6,7,26,33,52,24
01/22/11,30,31,34,45,51,23
01/26/11,4,5,36,47,58,6
01/29/11,24,28,45,49,52,2
02/16/11,9,13,21,23,48,24
02/26/11,4,13,17,21,45,10
03/02/11,7,31,50,51,58,6
03/05/11,2,23,31,42,48,21
03/09/11,12,20,28,40,48,8
03/16/11,28,39,40,48,53,9
03/23/11,5,15,26,28,32,9
04/02/11,6,22,34,43,45,23
04/06/11,10,18,41,55,56,15
04/16/11,21,33,44,45,55,7
04/30/11,6,13,15,32,41,3
05/04/11,3,15,27,29,41,24
05/14/11,8,17,18,40,44,16
05/18/11,7,12,13,42,49,16
05/25/11,4,23,31,42,50,23
06/04/11,17,19,39,41,58,21
06/11/11,16,18,27,36,50,8
06/22/11,12,15,19,46,59,12
06/25/11,18,36,39,41,57,12
06/29/11,24,30,45,57,59,26
07/13/11,8,18,19,32,54,8
07/16/11,24,28,48,50,54,25
07/20/11,1,4,38,40,42,17
07/30/11,20,40,41,47,55,19
08/13/11,9,12,35,50,58,4
08/27/11,2,12,25,54,58,14
09/03/11,15,25,52,53,54,2
09/07/11,3,5,18,27,54,13
09/10/11,4,19,22,32,53,24
09/14/11,16,41,42,50,59,5
09/21/11,12,47,48,52,55,13
09/24/11,3,4,12,27,44,26
09/28/11,30,41,50,51,53,8
10/05/11,7,20,43,46,54,17
10/19/11,16,26,35,52,58,2
10/22/11,3,8,23,30,58,13
10/26/11,1,18,21,39,55,6
11/05/11,2,33,39,40,43,26
11/09/11,5,35,57,58,59,12
11/12/11,4,35,36,51,56,8
11/23/11,4,30,35,57,59,25
11/30/11,2,6,34,35,47,22
12/03/11,5,18,33,43,45,8
12/10/11,4,19,33,41,59,9
12/14/11,2,24,46,52,56,19
12/21/11,10,13,15,31,54,18
12/24/11,14,16,30,51,52,19
12/28/11,16,21,27,41,45,14
01/04/12,21,35,46,47,50,2
01/07/12,3,21,24,38,39,24
01/11/12,5,19,29,45,47,25
01/25/12,4,19,28,29,47,5
01/28/12,5,33,41,54,59,13
02/04/12,15,23,43,45,56,7
02/18/12,23,28,50,56,59,5
02/25/12,6,11,42,53,54,7
02/29/12,1,4,11,23,26,14
03/10/12,5,14,17,20,41,5
03/14/12,1,8,41,46,59,24
03/21/12,32,43,53,55,56,6
03/24/12,1,15,35,37,47,8
04/04/12,1,24,33,45,49,6
04/07/12,5,13,17,20,30,18
04/11/12,16,23,42,44,47,2
04/21/12,6,8,20,42,51,16
05/09/12,1,7,11,55,56,1
05/12/12,10,24,35,53,58,22
05/16/12,3,7,21,28,43,2
05/26/12,13,14,41,49,59,14
05/30/12,9,10,24,52,56,14
06/13/12,7,10,14,33,57,18
06/20/12,11,17,29,56,57,14
06/30/12,7,15,20,41,44,22
07/11/12,5,22,36,49,55,23
07/14/12,4,16,32,37,46,13
07/18/12,2,5,20,23,57,3
07/21/12,9,31,38,54,56,20
07/25/12,3,14,35,38,46,16
07/28/12,5,6,13,36,50,13
08/01/12,3,16,48,56,58,4
08/04/12,19,30,48,53,55,18
08/11/12,4,13,39,46,51,1
08/15/12,6,27,46,51,56,21
08/18/12,14,26,41,55,59,1
08/25/12,1,6,7,20,49,23
09/01/12,8,11,21,44,49,22
09/12/12,24,33,36,48,56,6
09/15/12,3,20,26,43,48,1
09/19/12,1,5,8,39,50,23
10/13/12,2,5,25,26,49,18
10/24/12,3,18,21,23,50,4
11/03/12,4,7,9,30,54,25
11/07/12,32,34,45,52,58,20
11/14/12,8,10,30,44,58,13
11/17/12,3,15,27,58,59,20
11/21/12,8,18,24,30,39,26
11/28/12,5,16,22,23,29,6
12/01/12,3,10,19,36,46,3
12/08/12,7,23,26,40,53,21
12/19/12,5,8,20,23,30,3
12/22/12,1,18,35,39,44,11
12/26/12,11,13,23,43,54,4
12/29/12,36,46,50,52,55,14
01/02/13,18,20,28,35,53,20
01/05/13,26,30,49,51,54,25
01/12/13,10,14,21,23,47,7
01/23/13,11,12,24,43,45,9
01/30/13,14,16,32,47,52,16
02/06/13,5,27,36,38,41,12
02/09/13,5,6,16,36,58,3
02/20/13,3,17,19,25,32,17
02/27/13,3,14,20,34,48,21
03/09/13,10,37,40,46,52,12
03/27/13,7,37,43,48,52,16
04/10/13,1,36,40,52,53,20
04/24/13,9,19,31,56,59,2
04/27/13,3,23,48,54,55,5
05/01/13,22,26,31,54,55,18
05/04/13,7,12,26,36,40,17
05/22/13,9,31,35,41,57,26
05/29/13,9,14,17,49,57,2
06/01/13,22,28,33,53,59,14
06/08/13,2,11,22,26,32,19
06/15/13,28,36,40,48,55,1
06/19/13,7,46,47,52,57,17
06/29/13,8,28,30,53,56,16
07/13/13,2,8,22,35,37,6
07/20/13,14,25,27,38,58,6
07/27/13,9,23,40,53,58,6
07/31/13,8,24,39,49,59,5
08/03/13,21,24,36,42,45,15
08/14/13,4,11,17,43,51,20
08/17/13,18,21,46,54,56,23
08/21/13,30,40,42,46,48,23
08/24/13,12,17,25,45,59,19
08/31/13,2,7,25,40,56,20
09/07/13,2,19,22,26,45,24
09/14/13,1,17,25,37,44,20
09/18/13,7,10,22,32,35,19
09/25/13,2,7,17,49,53,23
09/28/13,14,47,52,53,54,5
10/02/13,4,6,25,42,51,17
10/19/13,9,33,54,56,57,5
11/06/13,1,5,10,15,49,22
11/13/13,5,31,50,55,56,9
11/16/13,10,29,37,44,59,10
11/20/13,4,18,23,32,45,7
11/23/13,5,12,43,52,55,10
11/27/13,18,25,50,55,57,17
12/04/13,6,9,11,31,44,25
12/18/13,7,24,37,39,40,1
12/21/13,25,36,40,45,51,8
12/28/13,8,35,44,51,56,18
01/01/14,15,24,40,48,52,23
01/08/14,10,28,39,47,58,22
01/15/14,7,8,9,24,29,25
01/25/14,8,12,18,55,57,2
01/29/14,11,23,28,32,47,20
02/01/14,5,12,15,27,38,7
02/05/14,8,17,32,57,59,24
02/12/14,36,44,49,52,57,1
03/15/14,2,5,34,51,58,9
03/22/14,13,28,31,55,58,15
03/26/14,28,33,41,44,59,21
04/02/14,8,13,19,22,53,24
04/16/14,34,39,42,44,59,8
04/19/14,5,6,29,35,51,21
04/23/14,19,25,29,36,48,12
04/26/14,3,7,22,30,33,20
05/10/14,4,31,41,47,55,1
05/17/14,23,32,39,47,49,22
05/24/14,15,16,28,49,55,18
06/04/14,1,7,10,22,49,24
06/07/14,28,30,35,58,59,15
06/28/14,8,12,34,43,56,9
07/05/14,24,34,36,57,58,11
07/19/14,10,17,25,45,53,9
07/23/14,4,10,12,22,31,3
07/26/14,24,28,30,38,39,16
08/09/14,3,12,31,34,51,24
08/27/14,17,24,26,45,46,19
09/17/14,18,25,36,48,50,23
09/20/14,22,23,30,37,39,16
09/27/14,2,11,35,52,54,13
10/08/14,5,16,31,46,50,18
10/15/14,5,7,19,27,28,20
10/18/14,20,26,27,36,54,19
10/22/14,29,30,40,42,50,16
10/29/14,25,28,48,57,59,16
11/08/14,9,19,33,38,54,15
11/19/14,6,36,38,48,51,17
12/03/14,25,30,32,46,54,26
12/17/14,22,31,38,47,48,15
01/03/15,4,18,43,46,55,25
01/10/15,2,9,19,28,29,19
01/14/15,2,4,10,41,53,22
01/24/15,16,19,20,29,33,10
02/04/15,24,36,51,52,56,22
02/18/15,1,9,29,32,49,22
02/21/15,10,14,18,34,51,26
02/25/15,17,19,21,32,39,8
03/18/15,14,25,30,33,47,8
03/21/15,11,16,30,38,42,7
03/25/15,7,19,23,50,54,14
03/28/15,2,4,6,12,38,17
04/11/15,1,12,32,42,58,12
04/18/15,13,22,23,29,31,17
04/22/15,10,14,25,39,53,18
04/25/15,21,33,35,38,45,12
04/29/15,1,26,34,38,51,6
05/13/15,1,25,29,31,47,7
05/20/15,1,12,28,35,44,25
05/30/15,8,9,25,56,57,22
06/10/15,31,32,48,49,53,25
06/17/15,20,21,22,41,54,7
06/24/15,3,5,10,22,32,7
07/04/15,3,6,14,18,24,21
07/15/15,13,16,34,45,50,11
07/22/15,12,31,43,44,57,11
07/25/15,27,29,34,41,44,2
08/05/15,9,11,14,16,42,19
08/15/15,3,13,17,42,52,24
08/22/15,4,12,14,21,55,7
08/26/15,2,22,32,45,56,12
09/02/15,17,22,30,46,56,16
09/05/15,10,16,18,29,45,19
09/09/15,44,45,47,50,51,8
09/16/15,5,7,24,31,39,7
09/19/15,12,17,26,43,48,24
09/23/15,8,29,41,51,58,5
09/26/15,23,31,42,50,57,5
09/30/15,21,39,40,55,59,17
10/03/15,6,26,33,44,46,4
10/07/15,18,30,40,48,52,9
10/10/15,12,27,29,43,68,1
10/17/15,48,49,57,62,69,19
10/21/15,30,32,42,56,57,11
10/24/15,20,31,56,60,64,2
10/31/15,9,20,25,47,68,7
11/04/15,2,12,17,20,65,17
11/11/15,4,26,32,55,64,18
11/18/15,17,40,41,46,69,6
11/25/15,16,29,53,58,69,21
11/28/15,2,6,47,66,67,2
12/02/15,14,18,19,32,64,9
12/05/15,13,27,33,47,68,13
12/09/15,7,10,16,46,56,1
12/12/15,2,14,19,30,62,22
12/16/15,9,10,32,42,55,6
12/19/15,28,30,41,59,68,10
12/23/15,16,38,55,63,67,25
12/26/15,27,40,44,59,65,20
01/02/16,5,6,15,29,42,10
01/06/16,2,11,47,62,63,17
01/13/16,4,8,19,27,34,10
01/16/16,3,51,52,61,64,6
01/20/16,5,39,44,47,69,24
01/23/16,22,32,34,40,69,19
01/27/16,3,12,40,52,67,21
02/03/16,26,28,31,60,67,23
02/06/16,4,13,31,36,52,8
02/13/16,7,15,18,19,36,20
02/24/16,21,31,64,65,67,5
02/27/16,10,11,21,22,53,18
03/02/16,12,13,44,52,62,6
03/12/16,11,28,50,57,62,23
03/16/16,10,12,13,46,50,21
03/23/16,5,8,15,22,49,25
03/26/16,11,23,42,52,68,6
03/30/16,24,44,53,55,63,19
04/02/16,9,28,30,40,61,3
04/13/16,30,33,35,38,64,22
04/16/16,3,18,25,32,51,3
04/20/16,12,25,30,52,62,8
04/23/16,19,35,46,59,62,13
04/27/16,2,25,33,39,64,17
05/04/16,30,47,57,66,69,3
05/11/16,20,32,52,66,69,23
05/14/16,13,27,47,64,65,9
05/18/16,23,25,39,54,67,11
05/25/16,11,24,41,59,64,15
05/28/16,6,33,34,58,59,12
06/01/16,23,30,33,40,69,12
06/08/16,12,25,37,60,69,20
06/11/16,20,27,36,41,58,7
06/15/16,4,22,24,31,33,10
06/18/16,2,23,41,53,63,11
06/22/16,14,40,42,43,52,17
07/02/16,10,34,39,59,63,4
07/06/16,2,24,31,57,66,18
07/09/16,10,28,32,61,64,12
07/13/16,3,15,29,54,57,10
07/16/16,11,17,40,50,62,26
07/20/16,6,25,35,58,66,5
07/27/16,10,47,50,65,68,24
07/30/16,11,17,21,23,32,5
08/03/16,9,11,27,66,67,2
08/06/16,20,33,36,47,52,12
08/10/16,23,56,61,64,67,12
08/13/16,38,44,60,64,69,6
08/20/16,3,6,21,60,68,24
08/27/16,4,32,48,49,63,20
08/31/16,5,10,24,56,61,12
09/03/16,7,39,50,59,67,25
09/07/16,22,23,29,33,55,21
09/10/16,3,17,49,55,68,8
09/21/16,1,28,63,67,69,17
09/24/16,7,15,20,29,41,22
09/28/16,30,38,52,53,62,1
10/05/16,8,18,27,29,60,15
10/08/16,3,54,61,64,68,9
10/15/16,23,49,57,64,67,20
10/29/16,19,20,21,42,48,23
11/02/16,13,18,37,54,61,5
11/05/16,21,31,50,51,69,8
11/09/16,1,25,28,31,54,2
11/12/16,8,17,20,27,52,24
11/16/16,28,41,61,63,65,7
11/23/16,7,32,41,47,61,3
11/30/16,3,14,18,25,45,7
12/03/16,8,10,26,27,33,22
12/07/16,41,48,49,53,64,20
12/14/16,18,26,37,39,66,15
12/21/16,25,33,40,54,68,3
12/24/16,28,38,42,51,52,21
12/31/16,1,3,28,57,67,9
01/07/17,3,12,24,37,63,10
01/14/17,23,55,59,64,69,13
01/18/17,9,40,41,53,58,12
01/21/17,23,25,45,52,67,2
01/25/17,18,28,62,66,68,22
02/01/17,9,43,57,60,64,10
02/08/17,14,20,42,49,66,5
02/15/17,5,28,33,38,42,19
02/18/17,3,7,9,31,33,20
02/25/17,6,32,47,62,65,19
03/04/17,2,18,19,22,63,19
03/08/17,23,33,42,46,59,4
03/15/17,16,30,41,48,53,16
03/18/17,13,25,44,54,67,5
03/22/17,2,9,27,29,42,9
03/25/17,18,31,32,45,48,16
03/29/17,8,15,31,36,62,11
04/05/17,8,20,46,53,54,13
04/08/17,23,36,51,53,60,15
04/12/17,8,14,61,63,68,24
04/15/17,5,22,26,45,61,13
04/22/17,21,39,41,48,63,6
04/29/17,22,23,24,45,62,5
05/06/17,11,21,31,41,59,21
05/10/17,29,31,46,56,62,8
05/17/17,4,11,39,45,48,9
05/24/17,28,32,33,38,62,15
05/31/17,4,33,39,46,60,6
06/07/17,5,21,57,66,69,13
06/10/17,20,26,32,38,58,3
06/14/17,5,22,43,57,63,24
06/17/17,10,13,32,53,62,21
06/21/17,14,46,61,65,68,13
06/24/17,10,22,32,36,58,10
06/28/17,29,37,46,53,68,8
07/01/17,19,42,45,48,53,16
07/05/17,4,9,16,54,68,21
07/12/17,1,2,18,23,61,9
07/19/17,50,51,59,61,63,4
07/22/17,5,32,44,53,60,9
07/29/17,1,28,40,45,48,12
08/02/17,1,16,54,63,69,18
08/05/17,11,21,28,33,45,11
08/12/17,20,24,26,35,49,19
08/16/17,9,15,43,60,64,4
08/26/17,7,15,32,38,66,15
08/30/17,19,28,43,67,69,7
09/02/17,6,21,41,52,62,26
09/09/17,6,20,29,57,59,22
09/20/17,39,48,53,67,68,26
09/23/17,24,45,55,56,57,19
09/27/17,8,10,21,23,25,22
09/30/17,8,12,25,41,64,15
10/04/17,22,23,62,63,66,24
10/11/17,1,3,13,19,69,23
10/14/17,32,37,56,66,69,11
10/18/17,30,49,54,66,69,8
10/21/17,14,41,42,45,69,4
10/25/17,18,22,29,54,57,8
11/04/17,12,14,26,48,51,13
11/08/17,12,14,20,21,34,22
11/11/17,4,6,16,30,56,18
11/15/17,23,32,44,48,50,25
11/22/17,35,37,46,51,61,13
11/25/17,8,13,27,53,54,4
11/29/17,24,26,28,59,63,16
12/02/17,28,30,32,36,58,6
12/06/17,19,20,50,55,62,9
12/09/17,25,36,37,55,60,6
12/13/17,2,24,28,51,58,7
12/16/17,9,35,37,50,63,11
12/23/17,1,3,13,15,44,25
12/27/17,3,9,16,56,60,3
12/30/17,28,36,41,51,58,24
01/06/18,12,29,30,33,61,26
01/10/18,7,24,33,49,50,4
01/13/18,14,25,35,58,69,24
01/17/18,3,33,37,51,57,21
01/20/18,26,28,47,49,58,3
01/24/18,5,9,11,33,64,21
01/27/18,17,21,26,47,54,7
01/31/18,4,7,14,46,59,22
02/03/18,15,23,27,48,53,6
02/07/18,23,34,35,40,47,10
02/10/18,1,13,27,41,59,20
02/14/18,37,39,44,46,69,26
02/21/18,7,15,31,34,36,8
02/28/18,12,30,59,65,69,16
03/03/18,13,17,25,36,40,5
03/10/18,43,44,54,61,69,22
03/14/18,6,12,24,41,68,9
03/17/18,22,57,59,60,66,7
03/28/18,6,8,26,52,53,21
03/31/18,8,24,52,55,61,21
04/04/18,8,24,42,54,64,24
04/07/18,2,17,20,38,39,20
04/14/18,17,19,26,61,62,15
04/18/18,9,10,12,17,23,9
04/21/18,40,50,54,62,69,19
05/05/18,14,29,36,57,61,17
05/09/18,11,16,38,50,69,19
05/12/18,22,42,45,55,56,14
05/16/18,17,19,21,22,51,19
05/19/18,3,6,9,17,56,25
05/23/18,20,54,56,61,64,7
05/26/18,1,21,31,45,49,21
05/30/18,17,23,26,46,68,20
06/02/18,23,25,37,44,64,7
06/06/18,23,28,41,53,56,14
06/16/18,9,45,57,58,65,9
06/20/18,4,14,23,27,56,13
06/23/18,16,29,43,45,56,25
06/27/18,7,28,37,62,63,15
06/30/18,3,9,20,42,61,24
07/07/18,1,10,43,45,64,22
07/14/18,22,41,42,49,67,11
07/18/18,1,10,27,28,36,12
07/21/18,9,23,56,58,68,1
07/28/18,22,27,46,56,65,13
08/01/18,5,22,32,38,58,26
08/04/18,3,11,38,44,58,2
08/08/18,10,21,30,43,63,17
08/11/18,5,43,56,62,68,24
08/18/18,24,34,52,61,67,16
08/22/18,1,7,45,47,69,13
08/29/18,25,41,53,57,67,12
09/05/18,6,15,50,59,60,13
09/08/18,3,13,20,32,33,21
09/12/18,6,28,48,63,64,24
09/19/18,4,39,48,50,51,11
09/26/18,1,2,7,30,50,8
10/06/18,1,22,27,53,67,15
10/10/18,8,23,27,42,60,7
10/13/18,11,14,32,43,65,15
10/17/18,3,57,64,68,69,15
10/20/18,16,54,57,62,69,23
10/24/18,3,21,45,53,56,22
10/31/18,7,25,39,40,47,20
11/07/18,26,28,34,42,50,25
11/10/18,5,29,34,53,57,24
11/14/18,7,42,49,62,69,23
11/17/18,6,8,20,52,68,5
11/28/18,4,19,59,68,69,21
12/01/18,10,11,47,55,58,26
12/05/18,9,11,36,37,38,11
12/08/18,14,32,34,46,61,10
12/12/18,4,9,21,29,64,26
12/15/18,8,38,43,52,55,17
12/19/18,15,29,31,37,43,16
12/22/18,21,28,30,40,59,26
12/26/18,5,25,38,52,67,24
01/02/19,8,12,42,46,56,12
01/12/19,7,36,48,57,58,24
01/19/19,5,8,41,65,66,20
01/26/19,8,12,20,21,32,10
01/30/19,2,12,16,29,54,6
02/02/19,10,17,18,43,65,13
02/06/19,5,13,28,38,63,21
02/16/19,29,30,41,48,64,1
02/23/19,4,6,14,20,32,13
02/27/19,21,31,42,49,59,23
03/09/19,5,6,45,55,59,14
03/13/19,18,36,45,47,69,14
03/16/19,30,34,39,53,67,11
03/20/19,10,14,50,53,63,21
03/23/19,24,25,52,60,66,5
03/27/19,16,20,37,44,62,12
03/30/19,21,52,54,64,68,4
04/06/19,15,33,43,59,60,8
04/10/19,12,21,23,39,67,6
04/20/19,3,27,30,63,65,1
04/27/19,2,29,41,45,62,6
05/04/19,6,16,23,30,61,2
05/08/19,1,45,53,64,66,3
05/11/19,6,8,9,37,40,26
05/15/19,7,17,33,61,68,4
05/18/19,2,10,25,66,67,26
05/22/19,7,10,20,44,57,3
05/25/19,1,2,39,43,66,2
05/29/19,3,32,34,42,61,7
06/05/19,17,23,28,34,38,8
06/08/19,9,13,42,48,60,18
06/12/19,5,35,38,42,57,13
06/15/19,8,11,14,16,49,14
06/19/19,4,18,21,26,38,1
06/26/19,1,5,16,22,54,24
06/29/19,13,17,24,59,62,8
07/03/19,40,43,45,50,61,25
07/06/19,4,8,23,46,65,1
07/24/19,22,29,35,53,56,13
07/31/19,14,37,47,55,67,6
08/10/19,35,41,44,58,59,3
08/14/19,10,13,30,51,69,10
08/17/19,18,21,24,30,60,20
08/24/19,5,12,20,21,47,1
08/28/19,9,32,37,41,56,14
08/31/19,14,41,50,56,57,18
09/07/19,11,20,41,42,56,6
09/11/19,6,17,24,53,57,3
09/14/19,11,27,31,36,67,11
09/28/19,15,23,34,51,55,4
10/05/19,6,14,36,51,54,4
10/09/19,5,18,33,43,65,2
10/16/19,1,5,25,63,67,3
10/19/19,14,27,29,59,65,12
10/26/19,3,20,48,54,59,4
11/02/19,3,23,32,37,58,22
11/06/19,15,28,46,62,64,17
11/09/19,14,17,35,38,60,25
11/16/19,14,22,26,55,63,26
11/20/19,7,15,39,40,57,12
11/27/19,15,26,37,53,55,21
11/30/19,15,35,42,63,68,18
12/04/19,8,27,44,51,61,14
12/07/19,18,42,53,62,66,25
12/11/19,24,29,42,44,63,10
12/25/19,2,4,16,30,46,20
12/28/19,20,23,39,59,60,18
01/01/20,49,53,57,59,62,26
01/08/20,2,4,7,43,56,22
01/11/20,3,21,23,31,59,3
01/15/20,39,41,53,55,68,19
01/22/20,11,33,44,59,67,8
01/25/20,2,9,17,36,67,18
01/29/20,9,12,15,31,60,2
02/01/20,12,33,54,57,60,13
02/08/20,35,49,50,59,66,6
02/12/20,14,47,54,55,68,25
02/15/20,16,32,35,36,46,3
02/22/20,25,37,39,61,62,11
02/26/20,8,27,29,36,47,24
02/29/20,24,44,46,50,51,13
03/04/20,18,43,58,60,68,14
03/11/20,4,29,49,50,67,2
03/14/20,9,23,26,30,32,8
03/18/20,15,27,44,59,63,8
03/21/20,2,23,40,59,69,13
03/25/20,5,9,27,39,42,16
03/28/20,7,40,48,55,66,11
04/01/20,33,35,45,48,60,16
04/08/20,2,37,39,48,54,5
04/11/20,22,29,30,42,47,17
04/15/20,10,12,33,36,41,2
04/22/20,1,33,35,40,69,24
04/25/20,1,3,21,47,57,18
05/02/20,13,16,33,58,68,24
05/09/20,12,18,42,48,65,19
05/16/20,8,12,26,39,42,11
05/20/20,18,34,40,42,50,9
05/27/20,38,58,59,64,68,21
05/30/20,13,32,41,58,60,14
06/06/20,1,17,38,68,69,18
06/13/20,2,12,32,50,65,5
06/17/20,7,10,63,64,68,10
06/20/20,10,31,41,63,67,5
06/24/20,15,22,27,33,46,23
06/27/20,9,36,49,56,62,8
07/01/20,15,28,52,53,63,18
07/04/20,16,21,27,60,61,6
07/08/20,3,10,34,36,62,5
07/11/20,14,19,61,62,64,4
07/15/20,27,47,61,62,69,4
07/18/20,13,16,32,58,59,9
07/22/20,16,25,36,44,55,14
07/25/20,5,21,36,61,62,18
08/01/20,6,25,36,43,48,24
08/05/20,7,14,17,57,65,24
08/08/20,2,3,14,40,51,24
08/12/20,2,6,18,36,37,21
08/15/20,5,12,34,45,56,3
08/19/20,13,23,47,55,58,23
08/22/20,19,30,36,42,66,14
09/05/20,15,21,22,27,47,7
09/09/20,27,52,55,60,64,21
09/16/20,10,17,31,51,53,1
09/19/20,11,14,23,47,57,14
09/23/20,8,17,49,52,59,1
09/26/20,11,21,27,36,62,24
09/30/20,14,18,36,49,67,18
10/07/20,6,24,30,53,56,19
10/10/20,5,18,23,40,50,18
10/14/20,21,37,52,53,58,5
10/21/20,1,3,13,44,56,26
10/31/20,2,6,40,42,55,24
11/04/20,23,32,33,45,49,14
11/07/20,14,16,37,48,58,18
11/11/20,13,15,17,45,63,13
11/18/20,4,5,17,43,52,5
11/25/20,2,57,58,60,65,26
11/28/20,8,12,18,44,51,18
12/02/20,28,31,40,41,46,4
12/05/20,3,4,6,48,53,10
12/09/20,11,14,31,47,48,4
12/16/20,4,23,37,61,67,7
12/19/20,27,32,34,43,52,13
12/23/20,6,13,38,39,53,6
12/26/20,10,24,27,35,53,18
12/30/20,3,43,45,61,65,14
01/02/21,3,4,11,41,67,5
01/09/21,14,26,38,45,46,13
01/13/21,4,19,23,25,49,14
01/16/21,14,20,39,65,67,2
01/20/21,40,53,60,68,69,22
01/23/21,5,8,17,27,28,14
01/27/21,17,33,35,42,52,9
02/03/21,5,37,40,64,66,5
02/06/21,1,16,48,49,65,8
02/10/21,15,39,58,63,67,7
02/13/21,20,28,33,63,68,20
02/20/21,4,8,22,32,58,4
03/06/21,11,31,50,52,58,18
03/10/21,17,18,37,44,53,18
03/13/21,5,11,51,56,61,2
03/17/21,34,38,42,61,62,19
03/20/21,1,6,22,42,61,4
03/24/21,4,9,17,27,38,18
03/27/21,6,14,38,39,65,6
04/03/21,1,12,17,39,53,5
04/07/21,27,35,39,51,66,16
04/10/21,14,16,23,50,53,3
04/24/21,22,36,48,59,61,22
05/01/21,35,36,47,61,63,3
05/05/21,16,23,28,40,63,1
05/12/21,1,19,20,38,54,17
05/15/21,4,10,37,39,69,24
05/19/21,11,13,55,56,69,4
05/22/21,3,19,27,37,40,8
05/29/21,11,13,22,27,46,20
06/05/21,44,52,54,64,69,26
06/12/21,8,25,34,38,41,10
06/16/21,19,29,34,44,50,25
06/19/21,4,22,35,38,39,20
06/23/21,13,20,40,51,63,1
06/26/21,8,31,39,43,60,17
06/30/21,24,29,50,65,66,14
07/03/21,26,40,41,55,65,24
07/10/21,1,5,29,54,62,3
07/14/21,33,46,52,59,62,10
07/17/21,15,22,38,54,66,3
07/21/21,27,28,44,67,68,11
07/24/21,1,4,11,59,67,10
07/28/21,25,30,53,59,60,5
08/11/21,12,18,20,29,30,16
08/18/21,35,36,51,55,61,26
08/21/21,16,28,36,39,59,4
08/23/21,3,28,34,39,63,25
08/23/21,17,36,47,60,61,15
